label,binding,kp0,kp1,kp2,kp3,kp4,kp5,kp6,kp7,kp8,kp9,kp10,kp11,kp12,kp13,kp14,kp15,kp16,kp17,kp18,kp19,kp20,kp21,kp22,kp23,kp24,kp25,kp26,kp27,kp28,kp29,kp30,kp31,kp32,kp33,kp34,kp35,kp36,kp37,kp38,kp39,kp40,kp41,kp42,kp43,kp44,kp45,kp46,kp47,kp48,kp49,kp50,kp51,kp52,kp53,kp54,kp55,kp56,kp57,kp58,kp59,kp60,kp61,kp62
thumbs_up,volume_up,0.7794222831726074,0.7957428097724915,-1.261382749362383e-07,0.750335693359375,0.658419668674469,-0.0030536213889718056,0.7039892673492432,0.5455315113067627,-0.020716605708003044,0.6749314665794373,0.44940894842147827,-0.03824987635016441,0.6832063794136047,0.35670068860054016,-0.05695738270878792,0.6679102182388306,0.5923447608947754,-0.056730348616838455,0.578921914100647,0.6106899380683899,-0.07427869737148285,0.6043681502342224,0.6207717061042786,-0.07829500734806061,0.6355282068252563,0.6171899437904358,-0.07888007164001465,0.6649344563484192,0.6925433874130249,-0.06462808698415756,0.5750955939292908,0.6846656799316406,-0.07565958052873611,0.6004881858825684,0.6898513436317444,-0.06881453096866608,0.6316148638725281,0.6938109397888184,-0.06556489318609238,0.6627426147460938,0.7867965698242188,-0.06953653693199158,0.5817868113517761,0.761016309261322,-0.07443315535783768,0.6066919565200806,0.7638346552848816,-0.05773631110787392,0.6373817324638367,0.7688935399055481,-0.04819971323013306,0.66297447681427,0.8700453042984009,-0.07417703419923782,0.5922443270683289,0.8364054560661316,-0.07399675995111465,0.6148778200149536,0.8318085074424744,-0.05671865865588188,0.6426835060119629,0.8369327783584595,-0.045062799006700516
thumbs_up,volume_up,0.7772208452224731,0.7971096038818359,-1.1691294332649704e-07,0.749474287033081,0.6601592302322388,-0.004083029460161924,0.7034805417060852,0.5469554662704468,-0.02212776243686676,0.6747597455978394,0.450753390789032,-0.04000712186098099,0.682806670665741,0.3571414649486542,-0.05885550379753113,0.666328489780426,0.5906805992126465,-0.0555066354572773,0.5780362486839294,0.6116039752960205,-0.0735388845205307,0.6042454242706299,0.6239986419677734,-0.0780133306980133,0.6355621218681335,0.6198076009750366,-0.07872854918241501,0.6634857058525085,0.6919047832489014,-0.06297534704208374,0.5750320553779602,0.6849326491355896,-0.07481751590967178,0.6013427972793579,0.6923055052757263,-0.06828874349594116,0.6327617168426514,0.6962107419967651,-0.06469815969467163,0.6613000631332397,0.7870522141456604,-0.0677606388926506,0.5818661451339722,0.7609952092170715,-0.07286025583744049,0.60738205909729,0.7651615142822266,-0.05632378160953522,0.6378669142723083,0.7699136734008789,-0.046600405126810074,0.6614897847175598,0.8703144788742065,-0.07242020964622498,0.5923970341682434,0.8376099467277527,-0.07182854413986206,0.615900993347168,0.8347501754760742,-0.05446891859173775,0.6435388326644897,0.8400200605392456,-0.0426609180867672
thumbs_up,volume_up,0.7789676785469055,0.7930299043655396,-1.4436959361319168e-07,0.7504787445068359,0.6572470664978027,-0.003621490206569433,0.7037702798843384,0.5444254875183105,-0.02128000557422638,0.6741853952407837,0.4494234323501587,-0.03879478946328163,0.6820623874664307,0.35565897822380066,-0.05748774856328964,0.667184054851532,0.5906174182891846,-0.0560184046626091,0.5791960954666138,0.6086958050727844,-0.07405782490968704,0.6050204634666443,0.619395911693573,-0.07866978645324707,0.6360352039337158,0.6153120398521423,-0.07969692349433899,0.6642826795578003,0.6905032992362976,-0.06378348916769028,0.575858473777771,0.6837614178657532,-0.075133316218853,0.6016656756401062,0.6892540454864502,-0.0685059204697609,0.6328864693641663,0.6928198337554932,-0.06540362536907196,0.6626954078674316,0.7845836877822876,-0.06876328587532043,0.5823094844818115,0.7621641755104065,-0.07448198646306992,0.6075900793075562,0.7649048566818237,-0.0581677183508873,0.6388295888900757,0.7693182229995728,-0.04872732236981392,0.6634663343429565,0.8680955171585083,-0.07350727915763855,0.5927124619483948,0.8376530408859253,-0.07437822967767715,0.6154858469963074,0.8332880139350891,-0.05767786130309105,0.6438511610031128,0.8377701640129089,-0.04624296352267265
thumbs_up,volume_up,0.21766357123851776,0.7927296161651611,-3.221853148716036e-07,0.24682468175888062,0.6560524702072144,-0.005326075945049524,0.2936480641365051,0.5373439788818359,-0.022226432338356972,0.3230636417865753,0.43792724609375,-0.03745720908045769,0.3147055506706238,0.3504050672054291,-0.0497601181268692,0.33379510045051575,0.5935574769973755,-0.051152851432561874,0.42096635699272156,0.613359272480011,-0.06287127733230591,0.39234068989753723,0.6246724128723145,-0.05804098770022392,0.3595786988735199,0.623173177242279,-0.05228161811828613,0.33935627341270447,0.6941511034965515,-0.056704699993133545,0.4259808659553528,0.6901746392250061,-0.06104085594415665,0.39859718084335327,0.692774772644043,-0.04777401313185692,0.36655116081237793,0.6971185803413391,-0.040256764739751816,0.3416813910007477,0.7854676246643066,-0.059449538588523865,0.42155060172080994,0.7675269246101379,-0.057189129292964935,0.3963596224784851,0.7674961686134338,-0.03521353006362915,0.3649500906467438,0.7731895446777344,-0.023824969306588173,0.34101587533950806,0.8647099137306213,-0.06206715479493141,0.4070921540260315,0.837961733341217,-0.05425109341740608,0.3867679536342621,0.8321765065193176,-0.0328991524875164,0.36044177412986755,0.8374370336532593,-0.01987341418862343
thumbs_up,volume_up,0.7336466908454895,0.9162589311599731,-2.1084611034893896e-07,0.7239564657211304,0.7713826894760132,-0.0013063197256997228,0.6932700872421265,0.6359347105026245,-0.01730291359126568,0.6773672699928284,0.5263915061950684,-0.033746425062417984,0.6967431902885437,0.4447421729564667,-0.051535170525312424,0.6485662460327148,0.6716171503067017,-0.05168580263853073,0.5596303343772888,0.6439671516418457,-0.06981004029512405,0.5837955474853516,0.6675042510032654,-0.07529474049806595,0.6154571175575256,0.6816563010215759,-0.07680662721395493,0.6294936537742615,0.7631630897521973,-0.06090279296040535,0.5442451238632202,0.7145745158195496,-0.07164913415908813,0.5706748962402344,0.735709011554718,-0.06510268151760101,0.6023629903793335,0.7537355422973633,-0.06204797700047493,0.6139847636222839,0.8529791831970215,-0.06729322671890259,0.5389419794082642,0.7939400672912598,-0.07253483682870865,0.564389705657959,0.8098970651626587,-0.05506762117147446,0.5951679348945618,0.828082263469696,-0.04506319388747215,0.6026048064231873,0.9359402656555176,-0.07340342551469803,0.5400821566581726,0.8699483871459961,-0.07403892278671265,0.5626509785652161,0.8769928812980652,-0.05606847628951073,0.5880682468414307,0.895643949508667,-0.04371302202343941
thumbs_up,volume_up,0.8145526647567749,0.6545135974884033,-1.402326574861945e-07,0.7650112509727478,0.5359795689582825,-0.001086546923033893,0.7018771767616272,0.4481983780860901,-0.017498163506388664,0.6607663631439209,0.36817026138305664,-0.03383222594857216,0.6553325653076172,0.27682432532310486,-0.05158296227455139,0.6747514009475708,0.509669840335846,-0.05875441059470177,0.5919475555419922,0.5707597732543945,-0.07500464469194412,0.618700385093689,0.5694501996040344,-0.07655870914459229,0.6480204463005066,0.5512885451316833,-0.0756206065416336,0.6864553093910217,0.6088431477546692,-0.06743460148572922,0.5991552472114563,0.6436001658439636,-0.07763858139514923,0.6255248785018921,0.6381967663764954,-0.06861502677202225,0.6564351320266724,0.6281247735023499,-0.0643622875213623,0.6981585025787354,0.7013600468635559,-0.0726332888007164,0.6165017485618591,0.716313362121582,-0.07722435146570206,0.6418943405151367,0.7074907422065735,-0.058674924075603485,0.6727544069290161,0.6978884339332581,-0.048345521092414856,0.7109161019325256,0.7831124067306519,-0.07730050384998322,0.6371980905532837,0.7840983867645264,-0.07721055299043655,0.6595276594161987,0.7703031301498413,-0.0586974062025547,0.6878780126571655,0.7632325291633606,-0.046306416392326355
thumbs_up,volume_up,0.7326709628105164,0.8462382555007935,-8.322001576743787e-07,0.6984631419181824,0.6890472173690796,-0.046874359250068665,0.6988363265991211,0.5268480181694031,-0.06613451987504959,0.7091500759124756,0.40938442945480347,-0.07643435895442963,0.723212480545044,0.30696630477905273,-0.08116468042135239,0.7993148565292358,0.578833818435669,-0.06092647463083267,0.6818603873252869,0.6092668175697327,-0.08720358461141586,0.6639661192893982,0.6511933207511902,-0.0998460203409195,0.6921535134315491,0.6494569182395935,-0.10919947922229767,0.817033588886261,0.6844502091407776,-0.05418839678168297,0.6825383901596069,0.7031172513961792,-0.07361961156129837,0.6766479015350342,0.7140821218490601,-0.07650443911552429,0.7031203508377075,0.7043510675430298,-0.08342301100492477,0.8168370127677917,0.7902050614356995,-0.05128766968846321,0.6887449026107788,0.7972328662872314,-0.0766841247677803,0.6840496063232422,0.7982844114303589,-0.07098155468702316,0.7087774276733398,0.7908621430397034,-0.0679294541478157,0.8051636219024658,0.8839238882064819,-0.0529446117579937,0.7074306607246399,0.8931279182434082,-0.07573194056749344,0.7052167654037476,0.8827331066131592,-0.076555535197258,0.7281312942504883,0.8738374710083008,-0.07564076036214828
thumbs_up,volume_up,0.7357707023620605,0.8511373996734619,-7.895254725553968e-07,0.7003594636917114,0.6881752014160156,-0.04121659696102142,0.6989008784294128,0.5287831425666809,-0.058693792670965195,0.7072700262069702,0.41169992089271545,-0.0684068500995636,0.7242484092712402,0.3081801235675812,-0.07394084334373474,0.7969882488250732,0.5772932171821594,-0.05241111293435097,0.6837719678878784,0.6081776022911072,-0.07505115121603012,0.6689959764480591,0.6458773612976074,-0.08691253513097763,0.6984899640083313,0.636195182800293,-0.09607018530368805,0.813697874546051,0.6900030970573425,-0.04799320176243782,0.6797143816947937,0.7072590589523315,-0.0628160685300827,0.6805083155632019,0.7180691361427307,-0.0651494637131691,0.7091776132583618,0.7067707180976868,-0.07256752997636795,0.8144460916519165,0.7974790334701538,-0.0469052754342556,0.6844888925552368,0.8021451830863953,-0.06759466975927353,0.6871700286865234,0.8082215785980225,-0.06111991032958031,0.7152278423309326,0.8009404540061951,-0.058860670775175095,0.8033013343811035,0.8907798528671265,-0.049818091094493866,0.6990754008293152,0.9025229811668396,-0.06808613240718842,0.7018415927886963,0.9007498025894165,-0.0659431740641594,0.7291994690895081,0.8946201801300049,-0.06388895213603973
thumbs_up,volume_up,0.7364467978477478,0.8280772566795349,-7.725007549197471e-07,0.7014026641845703,0.6762282848358154,-0.04733438044786453,0.7012728452682495,0.52120041847229,-0.06866174191236496,0.7097853422164917,0.40727418661117554,-0.08125802129507065,0.7210599780082703,0.3015117347240448,-0.08797083795070648,0.7992334961891174,0.5744768381118774,-0.06296045333147049,0.6803958415985107,0.5998743176460266,-0.09161948412656784,0.6675541996955872,0.6404728293418884,-0.10519392043352127,0.699884831905365,0.6376681923866272,-0.11491192132234573,0.8164883255958557,0.6814652681350708,-0.057194724678993225,0.6786385774612427,0.6979057192802429,-0.07891207933425903,0.6801922917366028,0.7140841484069824,-0.08171676099300385,0.7135918736457825,0.7035990953445435,-0.08810411393642426,0.8163791298866272,0.7887647151947021,-0.05541408434510231,0.685448408126831,0.7958468794822693,-0.08181274682283401,0.6867218017578125,0.8030260801315308,-0.07357364892959595,0.715528130531311,0.7952964305877686,-0.0687166303396225,0.8048827052116394,0.8849191665649414,-0.058478258550167084,0.7037578225135803,0.8968838453292847,-0.08170372247695923,0.7058418989181519,0.8906797170639038,-0.08109775185585022,0.7333866953849792,0.8806214928627014,-0.07905163615942001
thumbs_up,volume_up,0.2742850184440613,0.8274956941604614,-5.487353291755426e-07,0.30926573276519775,0.6812354326248169,-0.036795806139707565,0.30624303221702576,0.5267055034637451,-0.05927756056189537,0.29395002126693726,0.4113118648529053,-0.07607963681221008,0.2814963757991791,0.2984159290790558,-0.09022153913974762,0.20658445358276367,0.5723612308502197,-0.08600959181785583,0.32560864090919495,0.6109017729759216,-0.12126185745000839,0.33278024196624756,0.6454265117645264,-0.13793648779392242,0.30084434151649475,0.6461455821990967,-0.1514584869146347,0.18150755763053894,0.6903300881385803,-0.08708668500185013,0.32858091592788696,0.7236408591270447,-0.11319942027330399,0.3250815272331238,0.7325316071510315,-0.11549953371286392,0.2878730893135071,0.7270768284797668,-0.1262993961572647,0.18194633722305298,0.7986987829208374,-0.08926576375961304,0.317726194858551,0.8163076639175415,-0.1131739541888237,0.3179866671562195,0.8161284923553467,-0.10369943827390671,0.28467151522636414,0.8023492097854614,-0.1036849096417427,0.19181476533412933,0.8934085965156555,-0.09613554924726486,0.30121225118637085,0.9011891484260559,-0.11968708783388138,0.3075506091117859,0.8935894966125488,-0.12049591541290283,0.28163808584213257,0.8887768983840942,-0.12337993085384369
thumbs_up,volume_up,0.6900563836097717,0.8825672268867493,-7.19714250863035e-07,0.6761947274208069,0.7583574652671814,-0.05935921147465706,0.6949526071548462,0.6156487464904785,-0.08798487484455109,0.7178293466567993,0.5159472823143005,-0.10557810962200165,0.7463223934173584,0.41882145404815674,-0.11662636697292328,0.7804175019264221,0.7094656229019165,-0.08246015757322311,0.6626967787742615,0.6747715473175049,-0.12260694801807404,0.636196494102478,0.7029368877410889,-0.1421017050743103,0.659454345703125,0.7212468385696411,-0.1545374095439911,0.7834643721580505,0.8146466016769409,-0.07213685661554337,0.6438507437705994,0.7693718075752258,-0.10604723542928696,0.6285143494606018,0.7820345163345337,-0.10999239981174469,0.6609570980072021,0.787407398223877,-0.11373061686754227,0.7656950950622559,0.910150945186615,-0.06689318269491196,0.6401991248130798,0.8565196394920349,-0.1016807034611702,0.6301150918006897,0.850467324256897,-0.08830928057432175,0.653460681438446,0.853193461894989,-0.07665488123893738,0.7385993003845215,0.9834262728691101,-0.06770703196525574,0.6497898697853088,0.9356151223182678,-0.09989208728075027,0.6441150903701782,0.9174250364303589,-0.0983555018901825,0.663501501083374,0.9203118085861206,-0.09196512401103973
thumbs_up,volume_up,0.7732726335525513,0.6930073499679565,-8.414825174440921e-07,0.7207847833633423,0.5709447264671326,-0.054319191724061966,0.6969247460365295,0.4257653057575226,-0.07943998277187347,0.6884201169013977,0.31139516830444336,-0.09357351809740067,0.6844635009765625,0.20134371519088745,-0.10159200429916382,0.7984724640846252,0.4344836473464966,-0.08036395907402039,0.6895184516906738,0.51685631275177,-0.11231578141450882,0.680225133895874,0.5614479184150696,-0.12512178719043732,0.7070797085762024,0.5467192530632019,-0.13384968042373657,0.8330777883529663,0.528161346912384,-0.07138141244649887,0.7030960321426392,0.6134210824966431,-0.09749781340360641,0.7005308866500854,0.6263980865478516,-0.1005101352930069,0.726069986820221,0.6021705865859985,-0.10664801299571991,0.8494462966918945,0.6298344135284424,-0.0658043920993805,0.7254849076271057,0.6981711983680725,-0.09718605130910873,0.7219651937484741,0.7030351161956787,-0.08902153372764587,0.7444564700126648,0.6821920275688171,-0.08326556533575058,0.8530946373939514,0.722906231880188,-0.06520174443721771,0.7586511373519897,0.778247594833374,-0.0928231030702591,0.7533291578292847,0.7725837230682373,-0.09252021461725235,0.7732800841331482,0.7515919208526611,-0.08995010703802109
